invoice_id,invoice_number,vendor_id,gl_transaction_id,invoice_date,amount
INV-3000,N-4003,VEN-1939,GL-3000,2024-01-01,2036.94
INV-3001,N-4003,VEN-1349,GL-3001,2024-01-01,4774.79
INV-3002,B-4003,VEN-1644,GL-3002,2024-01-01,1300.41
INV-3003,B-4003,VEN-1789,GL-3003,2024-01-01,3327.51
INV-3004,A-4003,VEN-1813,GL-3004,2024-01-01,1256.22
INV-3005,INV-4003,VEN-2174,GL-3005,2024-01-01,2204.8
INV-3006,B-4003,VEN-1710,GL-3006,2024-01-01,5837.74
INV-3007,N-4003,VEN-1387,GL-3007,2024-01-01,6825.46
INV-3008,N-4003,VEN-1705,GL-3008,2024-01-01,1225.61
INV-3009,N-4003,VEN-1458,GL-3009,2024-01-01,1950.3
INV-3010,N-4003,VEN-2222,GL-3010,2024-01-01,3263.93
INV-3011,INV-4003,VEN-1643,GL-3011,2024-01-01,714.76
INV-3012,R-4003,VEN-2185,GL-3012,2024-01-01,1346.58
INV-3013,INV-4003,VEN-1947,GL-3013,2024-01-01,1843.98
INV-3014,INV-4003,VEN-1721,GL-3014,2024-01-01,1713.24
INV-3015,INV-4003,VEN-1929,GL-3015,2024-01-01,9687.17
INV-3016,A-4003,VEN-2215,GL-3016,2024-01-01,2212.87
INV-3017,R-4003,VEN-1158,GL-3017,2024-01-01,3250.64
INV-3018,R-4003,VEN-2059,GL-3018,2024-01-01,5481.05
INV-3019,INV-4003,VEN-1571,GL-3019,2024-01-01,687.27
INV-3020,R-4003,VEN-1025,GL-3020,2024-01-01,6941.67
INV-3021,A-4003,VEN-1081,GL-3021,2024-01-02,6268.14
INV-3022,B-4003,VEN-2065,GL-3022,2024-01-02,1618.22
INV-3023,R-4003,VEN-2208,GL-3023,2024-01-02,2445.69
INV-3024,INV-4003,VEN-2097,GL-3024,2024-01-02,7331.46
INV-3025,R-4003,VEN-1778,GL-3025,2024-01-02,10921.13
INV-3026,N-4003,VEN-2127,GL-3026,2024-01-02,4441.42
INV-3027,B-4003,VEN-1967,GL-3027,2024-01-02,326.35
INV-3028,N-4003,VEN-1744,GL-3028,2024-01-02,3446.82
INV-3029,N-4003,VEN-2115,GL-3029,2024-01-02,1548.71
INV-3030,N-4003,VEN-1471,GL-3030,2024-01-02,3962.33
INV-3031,R-4003,VEN-1182,GL-3031,2024-01-02,2489.55
INV-3032,B-4003,VEN-2165,GL-3032,2024-01-02,1199.61
INV-3033,N-4003,VEN-1234,GL-3033,2024-01-02,699.44
INV-3034,INV-4003,VEN-2120,GL-3034,2024-01-02,984.87
INV-3035,A-4003,VEN-1086,GL-3035,2024-01-02,4935.75
INV-3036,INV-4003,VEN-1703,GL-3036,2024-01-02,5340.78
INV-3037,INV-4003,VEN-1885,GL-3037,2024-01-02,2881.33
INV-3038,INV-4003,VEN-1955,GL-3038,2024-01-02,1042.18
INV-3039,N-4003,VEN-1499,GL-3039,2024-01-02,2229.22
INV-3040,B-4003,VEN-1279,GL-3040,2024-01-03,1157.19
INV-3041,R-4003,VEN-1066,GL-3041,2024-01-03,11308.16
INV-3042,A-4003,VEN-1530,GL-3042,2024-01-03,672.52
INV-3043,INV-4003,VEN-1396,GL-3043,2024-01-03,2411.73
INV-3044,B-4003,VEN-1364,GL-3044,2024-01-03,873.18
INV-3045,R-4003,VEN-1884,GL-3045,2024-01-03,2730.25
INV-3046,B-4003,VEN-1701,GL-3046,2024-01-03,1414.96
INV-3047,INV-4003,VEN-1202,GL-3047,2024-01-03,5952.19
INV-3048,R-4003,VEN-2238,GL-3048,2024-01-03,4524.75
INV-3049,N-4003,VEN-1987,GL-3049,2024-01-03,2625.01
INV-3050,INV-4003,VEN-1528,GL-3050,2024-01-03,3647.57
INV-3051,R-4003,VEN-1918,GL-3051,2024-01-03,2529.28
INV-3052,A-4003,VEN-2102,GL-3052,2024-01-03,1836.24
INV-3053,R-4003,VEN-1817,GL-3053,2024-01-04,8910.57
INV-3054,R-4003,VEN-1108,GL-3054,2024-01-04,4911.98
INV-3055,N-4003,VEN-1104,GL-3055,2024-01-04,2386.85
INV-3056,N-4003,VEN-1641,GL-3056,2024-01-04,11109.61
INV-3057,R-4006,VEN-1108,GL-3057,2024-01-04,2495.83
INV-3058,B-4003,VEN-2061,GL-3058,2024-01-04,3032.14
INV-3059,B-4003,VEN-1868,GL-3059,2024-01-04,1342.04
INV-3060,INV-4003,VEN-1238,GL-3060,2024-01-04,4653.27
INV-3061,R-4003,VEN-1991,GL-3061,2024-01-04,2042.52
INV-3062,A-4003,VEN-2015,GL-3062,2024-01-04,664.52
INV-3063,N-4003,VEN-1295,GL-3063,2024-01-04,9958.98
INV-3064,N-4003,VEN-1766,GL-3064,2024-01-04,3280.59
INV-3065,B-4003,VEN-2141,GL-3065,2024-01-04,4456.69
INV-3066,INV-4003,VEN-1661,GL-3066,2024-01-04,3954.9
INV-3067,R-4003,VEN-1289,GL-3067,2024-01-04,850.94
INV-3068,A-4003,VEN-1647,GL-3068,2024-01-04,1408.48
INV-3069,N-4003,VEN-2004,GL-3069,2024-01-04,893.15
INV-3070,N-4003,VEN-1079,GL-3070,2024-01-04,1343.29
INV-3071,R-4003,VEN-1557,GL-3071,2024-01-04,1031.46
INV-3072,A-4003,VEN-1569,GL-3072,2024-01-04,1495.13
INV-3073,N-4006,VEN-2115,GL-3073,2024-01-04,981.92
INV-3074,R-4003,VEN-1899,GL-3074,2024-01-05,2087.31
INV-3075,R-4006,VEN-1899,GL-3075,2024-01-05,2904.67
INV-3076,INV-4003,VEN-1818,GL-3076,2024-01-05,2557.38
INV-3077,A-4003,VEN-1970,GL-3077,2024-01-05,2679.19
INV-3078,B-4003,VEN-2135,GL-3078,2024-01-05,1544.57
INV-3079,N-4003,VEN-1012,GL-3079,2024-01-05,1593.12
INV-3080,R-4003,VEN-1303,GL-3080,2024-01-05,1777.12
INV-3081,R-4003,VEN-1533,GL-3081,2024-01-05,1166.2
INV-3082,INV-4003,VEN-2038,GL-3082,2024-01-05,4477.09
INV-3083,R-4003,VEN-1018,GL-3083,2024-01-05,5904.12
INV-3084,INV-4003,VEN-2105,GL-3084,2024-01-05,4458.3
INV-3085,N-4003,VEN-1768,GL-3085,2024-01-05,3726.77
INV-3086,R-4003,VEN-1323,GL-3086,2024-01-05,3116.37
INV-3087,R-4003,VEN-1042,GL-3087,2024-01-05,1640.63
INV-3088,B-4003,VEN-2227,GL-3088,2024-01-05,6747.9
INV-3089,B-4003,VEN-2088,GL-3089,2024-01-05,3075.49
INV-3090,B-4003,VEN-2158,GL-3090,2024-01-05,4222.46
INV-3091,B-4003,VEN-1044,GL-3091,2024-01-05,1849.18
INV-3092,A-4003,VEN-2082,GL-3092,2024-01-05,569.37
INV-3093,B-4003,VEN-1751,GL-3093,2024-01-05,1145.01
INV-3094,INV-4003,VEN-1981,GL-3094,2024-01-08,3853.21
INV-3095,INV-4003,VEN-1585,GL-3095,2024-01-08,1835.33
INV-3096,R-4003,VEN-1383,GL-3096,2024-01-08,5185.98
INV-3097,R-4003,VEN-1098,GL-3097,2024-01-08,3060.98
INV-3098,INV-4003,VEN-1846,GL-3098,2024-01-08,3912.08
INV-3099,N-4003,VEN-1146,GL-3099,2024-01-08,2309.5
INV-3100,R-4003,VEN-1570,GL-3100,2024-01-08,4513.99
INV-3101,B-4003,VEN-1646,GL-3101,2024-01-08,2342.94
INV-3102,B-4003,VEN-1648,GL-3102,2024-01-08,1867.41
INV-3103,A-4003,VEN-2080,GL-3103,2024-01-08,4471.29
INV-3104,N-4003,VEN-1481,GL-3104,2024-01-08,5650.18
INV-3105,INV-4003,VEN-1029,GL-3105,2024-01-08,1252.1
INV-3106,A-4003,VEN-1464,GL-3106,2024-01-08,878.71
INV-3107,INV-4003,VEN-1858,GL-3107,2024-01-08,662.38
INV-3108,N-4003,VEN-1208,GL-3108,2024-01-09,10420.54
INV-3109,A-4003,VEN-1281,GL-3109,2024-01-09,1350.98
INV-3110,B-4003,VEN-1417,GL-3110,2024-01-09,884.24
INV-3111,INV-4003,VEN-2157,GL-3111,2024-01-09,4190.42
INV-3112,R-4003,VEN-1313,GL-3112,2024-01-09,4939.25
INV-3113,A-4003,VEN-1521,GL-3113,2024-01-09,599.41
INV-3114,INV-4003,VEN-2193,GL-3114,2024-01-09,2745.02
INV-3115,INV-4003,VEN-2188,GL-3115,2024-01-09,4637.65
INV-3116,R-4003,VEN-1925,GL-3116,2024-01-09,2086.2
INV-3117,R-4003,VEN-1068,GL-3117,2024-01-09,2804.54
INV-3118,A-4006,VEN-2082,GL-3118,2024-01-09,2088.51
INV-3119,A-4003,VEN-2069,GL-3119,2024-01-09,2044.21
INV-3120,A-4003,VEN-1645,GL-3120,2024-01-09,5775.55
INV-3121,A-4003,VEN-1275,GL-3121,2024-01-09,1485.09
INV-3122,B-4003,VEN-1905,GL-3122,2024-01-09,1110.68
INV-3123,R-4003,VEN-1306,GL-3123,2024-01-09,2386.23
INV-3124,N-4003,VEN-2030,GL-3124,2024-01-09,3568.03
INV-3125,R-4003,VEN-1346,GL-3125,2024-01-09,621.54
INV-3126,R-4003,VEN-2037,GL-3126,2024-01-09,5874.42
INV-3127,B-4003,VEN-1959,GL-3127,2024-01-09,461.18
INV-3128,INV-4003,VEN-1504,GL-3128,2024-01-09,5225.27
INV-3129,INV-4003,VEN-1756,GL-3129,2024-01-10,14658.96
INV-3130,N-4003,VEN-1757,GL-3130,2024-01-10,700.37
INV-3131,A-4003,VEN-2113,GL-3131,2024-01-10,653.31
INV-3132,N-4003,VEN-1440,GL-3132,2024-01-10,5552.36
INV-3133,R-4003,VEN-1365,GL-3133,2024-01-10,1965.47
INV-3134,R-4003,VEN-1426,GL-3134,2024-01-10,3242.31
