vendor_id,vendor_name,created_date,primary_account,bank_account_ref,status
VEN-1001,Amberlight Contractors,2024-11-01,6710 · Equipment,BA-30246633,Active
VEN-1002,Anchor Courier Services,2022-07-05,6000 · Office,BA-97366946,Active
VEN-1003,Ashcombe & Finch,2023-05-08,6300 · Contractors,BA-19722233,Active
VEN-1004,Ashcombe & Sons,2021-08-27,6500 · Professional,BA-81924865,Active
VEN-1005,Ashcombe Advisory,2023-12-12,6900 · Miscellaneous,BA-59081935,Active
VEN-1006,Ashcombe Co,2022-06-08,6900 · Miscellaneous,BA-17784483,Active
VEN-1007,Ashcombe Consulting,2022-01-29,6600 · Marketing,BA-38816302,Active
VEN-1008,Ashcombe Contractors,2023-08-24,6000 · Office,BA-21535642,Active
VEN-1009,Ashcombe Distribution,2022-07-29,6000 · Office,BA-66126116,Active
VEN-1010,Ashcombe Group,2023-04-28,6900 · Miscellaneous,BA-42301241,Active
VEN-1011,Ashcombe Holdings,2023-04-16,6300 · Contractors,BA-83960310,Active
VEN-1012,Ashcombe Logistics,2022-04-11,6600 · Marketing,BA-17933677,Active
VEN-1013,Ashcombe Materials,2021-05-04,6600 · Marketing,BA-85893910,Active
VEN-1014,Ashcombe Partners,2023-02-24,6210 · Software,BA-39962626,Active
VEN-1015,Ashcombe Services,2021-10-07,6210 · Software,BA-94212661,Active
VEN-1016,Ashcombe Solutions,2022-02-06,6300 · Contractors,BA-18302983,Active
VEN-1017,Ashcombe Supply,2021-11-20,6400 · Travel,BA-88590039,Active
VEN-1018,Ashcombe Supply Co,2022-05-09,6100 · Facilities,BA-16655764,Active
VEN-1019,Ashcombe Trade Ltd,2023-02-03,6500 · Professional,BA-16252221,Active
VEN-1020,Ashcombe Traders,2022-04-08,6800 · Events,BA-27874421,Active
VEN-1021,Ashcombe Vendors,2022-11-23,6900 · Miscellaneous,BA-66255890,Active
VEN-1022,Ashcombe Ventures,2023-04-08,6500 · Professional,BA-82569631,Active
VEN-1023,Ashcroft & Finch,2023-02-25,6100 · Facilities,BA-86626738,Active
VEN-1024,Ashcroft & Sons,2022-09-10,6600 · Marketing,BA-85196458,Active
VEN-1025,Ashcroft Advisory,2021-03-02,6600 · Marketing,BA-34256684,Active
VEN-1026,Ashcroft Co,2023-03-26,6900 · Miscellaneous,BA-88061052,Active
VEN-1027,Ashcroft Consulting,2021-12-15,6600 · Marketing,BA-95753514,Active
VEN-1028,Ashcroft Distribution,2023-03-13,6800 · Events,BA-59982352,Active
VEN-1029,Ashcroft Group,2023-03-15,6400 · Travel,BA-83517017,Active
VEN-1030,Ashcroft Holdings,2021-07-28,6710 · Equipment,BA-18427393,Active
VEN-1031,Ashcroft Logistics,2022-04-06,6210 · Software,BA-17999533,Active
VEN-1032,Ashcroft Materials,2021-10-11,6900 · Miscellaneous,BA-37643310,Active
VEN-1033,Ashcroft Partners,2022-03-29,6100 · Facilities,BA-81366283,Active
VEN-1034,Ashcroft Services,2022-05-04,6210 · Software,BA-52164119,Active
VEN-1035,Ashcroft Solutions,2022-07-07,6210 · Software,BA-88592782,Active
VEN-1036,Ashcroft Supply,2022-04-27,6400 · Travel,BA-58530762,Active
VEN-1037,Ashcroft Supply Co,2022-09-11,6210 · Software,BA-43343251,Active
VEN-1038,Ashcroft Trade Ltd,2021-09-30,6400 · Travel,BA-34127884,Active
VEN-1039,Ashcroft Traders,2021-09-04,6210 · Software,BA-42762079,Active
VEN-1040,Ashcroft Vendors,2023-06-20,6600 · Marketing,BA-87097845,Active
VEN-1041,Ashcroft Ventures,2023-02-19,6600 · Marketing,BA-80490681,Active
VEN-1042,Ashford & Finch,2022-01-29,6800 · Events,BA-56100526,Active
VEN-1043,Ashford & Sons,2021-08-02,6100 · Facilities,BA-70241505,Active
VEN-1044,Ashford Advisory,2022-08-29,6500 · Professional,BA-91733095,Active
VEN-1045,Ashford Co,2023-06-22,6000 · Office,BA-25846520,Active
VEN-1046,Ashford Consulting,2022-06-14,6500 · Professional,BA-66119495,Active
VEN-1047,Ashford Contractors,2023-01-27,6210 · Software,BA-55909953,Active
VEN-1048,Ashford Distribution,2023-04-22,6400 · Travel,BA-75627516,Active
VEN-1049,Ashford Group,2022-05-23,6210 · Software,BA-15262308,Active
VEN-1050,Ashford Holdings,2021-11-03,6500 · Professional,BA-20418044,Active
VEN-1051,Ashford Materials,2021-05-15,6000 · Office,BA-84903659,Active
VEN-1052,Ashford Partners,2022-04-27,6100 · Facilities,BA-52110478,Active
VEN-1053,Ashford Services,2022-07-30,6800 · Events,BA-57000147,Active
VEN-1054,Ashford Solutions,2022-01-28,6300 · Contractors,BA-76662562,Active
VEN-1055,Ashford Supply,2021-11-10,6300 · Contractors,BA-71230843,Active
VEN-1056,Ashford Supply Co,2023-06-29,6800 · Events,BA-22562241,Active
VEN-1057,Ashford Trade Ltd,2022-11-29,6900 · Miscellaneous,BA-73632401,Active
VEN-1058,Ashford Traders,2021-09-25,6210 · Software,BA-99141000,Active
VEN-1059,Ashford Ventures,2023-06-30,6100 · Facilities,BA-18142912,Active
VEN-1060,Atlas Field Systems,2021-06-19,6000 · Office,BA-51554798,Active
VEN-1061,Barrow & Finch,2022-02-02,6100 · Facilities,BA-87570629,Active
VEN-1062,Barrow & Sons,2021-08-09,6000 · Office,BA-69812891,Active
VEN-1063,Barrow Advisory,2022-09-27,6100 · Facilities,BA-61780050,Active
VEN-1064,Barrow Co,2022-07-10,6000 · Office,BA-56574257,Active
VEN-1065,Barrow Consulting,2023-09-21,6800 · Events,BA-71967692,Active
VEN-1066,Barrow Contractors,2022-06-19,6300 · Contractors,BA-32555071,Active
VEN-1067,Barrow Distribution,2021-12-09,6210 · Software,BA-25716331,Active
VEN-1068,Barrow Group,2022-02-03,6000 · Office,BA-17912728,Active
VEN-1069,Barrow Holdings,2023-03-05,6800 · Events,BA-48578460,Active
VEN-1070,Barrow Logistics,2023-02-25,6600 · Marketing,BA-43234300,Active
VEN-1071,Barrow Materials,2022-08-12,6000 · Office,BA-62472380,Active
VEN-1072,Barrow Partners,2021-04-14,6600 · Marketing,BA-76640001,Active
VEN-1073,Barrow Services,2023-04-19,6500 · Professional,BA-32329304,Active
VEN-1074,Barrow Solutions,2022-05-25,6300 · Contractors,BA-63907779,Active
VEN-1075,Barrow Supply,2022-03-22,6100 · Facilities,BA-47290936,Active
VEN-1076,Barrow Supply Co,2023-02-20,6000 · Office,BA-67783637,Active
VEN-1077,Barrow Trade Ltd,2021-02-04,6600 · Marketing,BA-83849218,Active
VEN-1078,Barrow Traders,2022-10-29,6210 · Software,BA-65740154,Active
VEN-1079,Barrow Vendors,2022-06-16,6600 · Marketing,BA-61061966,Active
VEN-1080,Barrow Ventures,2022-12-07,6100 · Facilities,BA-30256261,Active
VEN-1081,Basecamp Staffing,2023-03-24,6300 · Contractors,BA-33651543,Active
VEN-1082,Birchwood & Finch,2023-04-21,6710 · Equipment,BA-41132723,Active
VEN-1083,Birchwood & Sons,2021-10-12,6300 · Contractors,BA-41317839,Active
VEN-1084,Birchwood Advisory,2023-10-07,6710 · Equipment,BA-75090595,Active
VEN-1085,Birchwood Co,2021-05-31,6900 · Miscellaneous,BA-89070818,Active
VEN-1086,Birchwood Consulting,2022-12-12,6300 · Contractors,BA-45265254,Active
VEN-1087,Birchwood Contractors,2023-01-13,6710 · Equipment,BA-10549434,Active
VEN-1088,Birchwood Distribution,2023-03-01,6500 · Professional,BA-66230047,Active
VEN-1089,Birchwood Group,2022-04-01,6210 · Software,BA-59560375,Active
VEN-1090,Birchwood Holdings,2022-06-24,6400 · Travel,BA-86013032,Active
VEN-1091,Birchwood Logistics,2022-09-01,6000 · Office,BA-26843185,Active
VEN-1092,Birchwood Materials,2021-07-22,6100 · Facilities,BA-79188088,Active
VEN-1093,Birchwood Services,2021-12-10,6600 · Marketing,BA-97908110,Active
VEN-1094,Birchwood Solutions,2021-08-09,6600 · Marketing,BA-17246803,Active
VEN-1095,Birchwood Supply,2022-07-04,6600 · Marketing,BA-85064182,Active
VEN-1096,Birchwood Supply Co,2022-05-24,6300 · Contractors,BA-63428001,Active
VEN-1097,Birchwood Trade Ltd,2022-08-12,6300 · Contractors,BA-62897893,Active
VEN-1098,Birchwood Traders,2023-03-08,6210 · Software,BA-74628898,Active
VEN-1099,Birchwood Vendors,2021-09-19,6000 · Office,BA-63746500,Active
VEN-1100,Birchwood Ventures,2023-08-05,6500 · Professional,BA-35583179,Active
VEN-1101,Brackendale & Finch,2023-09-03,6600 · Marketing,BA-38019720,Active
VEN-1102,Brackendale & Sons,2022-05-03,6100 · Facilities,BA-31783965,Active
VEN-1103,Brackendale Advisory,2023-03-05,6100 · Facilities,BA-55641228,Active
VEN-1104,Brackendale Co,2021-10-11,6000 · Office,BA-17056578,Active
VEN-1105,Brackendale Consulting,2023-03-21,6300 · Contractors,BA-10031310,Active
VEN-1106,Brackendale Contractors,2021-12-28,6710 · Equipment,BA-30302435,Active
VEN-1107,Brackendale Distribution,2022-07-05,6600 · Marketing,BA-23618316,Active
VEN-1108,Brackendale Group,2022-06-11,6710 · Equipment,BA-92374421,Active
VEN-1109,Brackendale Holdings,2023-05-29,6210 · Software,BA-19437596,Active
VEN-1110,Brackendale Logistics,2021-05-01,6500 · Professional,BA-37910936,Active
VEN-1111,Brackendale Materials,2022-03-28,6000 · Office,BA-60496650,Active
VEN-1112,Brackendale Partners,2023-04-09,6500 · Professional,BA-95149012,Active
VEN-1113,Brackendale Services,2022-10-24,6000 · Office,BA-56625835,Active
VEN-1114,Brackendale Solutions,2022-05-20,6210 · Software,BA-58877189,Active
VEN-1115,Brackendale Supply,2022-03-09,6300 · Contractors,BA-26487605,Active
VEN-1116,Brackendale Supply Co,2023-05-05,6900 · Miscellaneous,BA-75507385,Active
VEN-1117,Brackendale Trade Ltd,2022-03-24,6900 · Miscellaneous,BA-74477539,Active
VEN-1118,Brackendale Traders,2022-07-02,6100 · Facilities,BA-51856109,Active
VEN-1119,Brackendale Vendors,2023-04-11,6300 · Contractors,BA-29343122,Active
VEN-1120,Brackendale Ventures,2023-03-18,6210 · Software,BA-55987803,Active
VEN-1121,Brackenwood Print Co,2024-11-03,6210 · Software,BA-74239549,Active
VEN-1122,Brightline Advisory,2021-04-17,6300 · Contractors,BA-31667923,Active
